model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
1,32,32,1,26,0.65,21.76,1.241852,0.311486
2,32,32,2,26,0.5,20.11,0.944028,0.23703
3,32,32,3,26,0.45,16.79,0.95646,0.240138
4,32,32,4,26,0.69,23.17,1.201276,0.301342
5,32,32,5,26,0.65,27.39,1.129084,0.283294
6,32,32,6,26,0.55,20.85,1.052028,0.26403
7,32,32,7,26,0.67,22.11,1.094396,0.274622
8,32,32,8,26,0.61,22.84,1.073564,0.269414
9,32,32,9,26,0.65,20.88,1.177468,0.29539
10,32,32,10,26,0.55,20.17,1.007996,0.253022
11,64,64,1,26,2.87,23.96,4.589292,1.151418
12,64,64,2,26,2.58,24.01,4.099628,1.029002
13,64,64,3,26,2.6,26.39,4.273644,1.072506
14,64,64,4,26,1.73,18.77,3.985132,1.000378
15,64,64,5,26,2.75,29.55,4.93502,1.23785
16,64,64,6,26,2.64,31.54,4.329068,1.086362
17,64,64,7,26,2.56,25.43,4.856044,1.218106
18,64,64,8,26,2.63,27.52,4.780524,1.199226
19,64,64,9,26,1.87,19.29,4.274924,1.072826
20,64,64,10,26,2.09,26.05,3.809004,0.956346
21,96,96,1,26,6.34,26.7,11.25974,2.82415
22,96,96,2,26,5.83,29.25,10.089212,2.531518
23,96,96,3,26,5.61,30.78,9.74374,2.44515
24,96,96,4,26,5.6,28.69,9.945564,2.495606
25,96,96,5,26,5.76,28.18,9.659292,2.424038
26,96,96,6,26,6.03,34.18,10.866716,2.725894
27,96,96,7,26,5.53,24.72,10.577532,2.653598
28,96,96,8,26,5.83,36.96,10.506236,2.635774
29,96,96,9,26,4.81,33.98,8.659164,2.174006
30,96,96,10,26,5.45,24.42,10.245788,2.570662
31,128,128,1,26,10.87,50.52,19.667244,4.933194
32,128,128,2,26,10.58,46.77,18.098604,4.541034
33,128,128,3,26,7.67,40.47,14.049836,3.528842
34,128,128,4,26,7.14,31.19,12.69854,3.191018
35,128,128,5,26,8.9,43.84,16.780972,4.211626
36,128,128,6,26,10.65,36.57,17.138604,4.301034
37,128,128,7,26,9.16,27.31,18.186668,4.56305
38,128,128,8,26,11.0,45.9,19.52158,4.896778
39,128,128,9,26,9.87,29.81,18.396588,4.61553
40,128,128,10,26,9.65,28.18,17.671852,4.434346
41,144,144,1,26,14.07,42.64,24.4959,6.14471
42,144,144,2,26,11.57,50.2,21.151108,5.308512
43,144,144,3,26,12.17,38.76,20.074228,5.039292
44,144,144,4,26,10.97,37.33,20.256964,5.084976
45,144,144,5,26,13.86,35.63,23.855204,5.984536
46,144,144,6,26,12.09,51.38,21.447348,5.382572
47,144,144,7,26,10.03,39.39,21.50522,5.39704
48,144,144,8,26,13.03,39.43,22.154804,5.559436
49,144,144,9,26,12.77,31.5,22.674044,5.689246
50,144,144,10,26,13.68,31.43,24.253476,6.084104
51,160,160,1,26,14.24,52.86,27.524796,6.906798
52,160,160,2,26,12.92,61.19,23.574812,5.919302
53,160,160,3,26,15.13,36.82,29.323356,7.356438
54,160,160,4,26,13.79,31.57,26.304076,6.601618
55,160,160,5,26,12.01,57.96,24.347116,6.112378
56,160,160,6,26,14.61,34.53,28.61654,7.179734
57,160,160,7,26,16.88,57.43,27.775356,6.969438
58,160,160,8,26,14.45,45.0,24.087548,6.047486
59,160,160,9,26,17.46,36.51,29.726972,7.457342
60,160,160,10,26,13.84,37.71,24.743548,6.211486
61,176,176,1,26,17.87,52.81,33.866308,8.497552
62,176,176,2,26,18.18,45.49,35.224116,8.837004
63,176,176,3,26,19.7,39.15,35.614148,8.934512
64,176,176,4,26,18.73,41.72,35.305884,8.857446
65,176,176,5,26,16.39,37.8,32.315948,8.109962
66,176,176,6,26,19.87,46.81,32.736628,8.215132
67,176,176,7,26,16.97,48.49,30.668636,7.698134
68,176,176,8,26,13.84,51.57,29.352692,7.369148
69,176,176,9,26,19.58,62.49,32.736692,8.215148
70,176,176,10,26,19.38,60.22,36.884388,9.252072
71,192,192,1,26,23.08,43.24,40.372844,10.130074
72,192,192,2,26,19.93,61.05,38.525804,9.668314
73,192,192,3,26,20.15,42.36,38.5811,9.682138
74,192,192,4,26,24.49,56.31,42.4787,10.656538
75,192,192,5,26,20.08,75.38,42.301868,10.61233
76,192,192,6,26,19.23,56.72,38.936556,9.771002
77,208,208,1,26,27.18,58.55,49.878828,12.51297
78,208,208,2,26,24.18,60.23,44.277788,11.11271
79,208,208,3,26,23.69,48.25,42.65122,10.706068
80,208,208,4,26,27.33,42.54,44.68426,11.214328
81,208,208,5,26,21.74,57.04,36.124844,9.074474
