model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
1,32,32,1,23,0.41,11.82,0.971116,0.243802
2,32,32,2,23,0.41,13.85,0.910764,0.228714
3,32,32,3,23,0.43,16.96,1.077708,0.27045
4,32,32,4,23,0.53,18.04,1.149804,0.288474
5,32,32,5,23,0.43,11.29,1.071468,0.26889
6,32,32,6,23,0.49,14.4,0.992764,0.249214
7,32,32,7,23,0.34,14.14,0.96246,0.241638
8,32,32,8,23,0.46,13.73,1.030236,0.258582
9,32,32,9,23,0.41,16.23,0.876364,0.220114
10,32,32,10,23,0.43,13.88,1.063388,0.26687
11,64,64,1,23,1.72,16.54,3.414252,0.857658
12,64,64,2,23,1.46,14.48,3.711596,0.931994
13,64,64,3,23,1.9,16.9,4.544492,1.140218
14,64,64,4,23,1.94,19.42,4.434476,1.112714
15,64,64,5,23,2.06,18.5,4.280236,1.074154
16,64,64,6,23,1.73,16.08,4.181292,1.049418
17,64,64,7,23,1.5,13.78,4.118764,1.033786
18,64,64,8,23,1.57,18.11,4.11358,1.03249
19,64,64,9,23,1.31,16.28,3.65246,0.91721
20,64,64,10,23,1.59,12.04,3.9539,0.99257
21,96,96,1,23,3.7,13.92,8.92078,2.23941
22,96,96,2,23,3.64,19.12,9.352124,2.347246
23,96,96,3,23,4.41,16.89,10.161852,2.549678
24,96,96,4,23,4.08,15.68,9.78166,2.45463
25,96,96,5,23,4.68,23.43,9.83222,2.46727
26,96,96,6,23,4.46,18.45,9.033644,2.267626
27,96,96,7,23,3.51,11.95,8.446428,2.120822
28,96,96,8,23,3.96,19.31,9.0823,2.27979
29,96,96,9,23,4.03,15.81,9.8931,2.48249
30,96,96,10,23,2.69,16.67,7.048172,1.771258
31,128,128,1,23,7.13,17.86,15.772972,3.959626
32,128,128,2,23,6.3,15.33,14.905516,3.742762
33,128,128,3,23,8.17,24.3,18.100268,4.54145
34,128,128,4,23,8.13,24.11,17.104044,4.292394
35,128,128,5,23,5.54,21.85,12.557484,3.155754
36,128,128,6,23,5.96,18.36,15.428652,3.873546
37,128,128,7,23,6.55,21.93,15.666348,3.93297
38,128,128,8,23,7.03,15.37,17.42046,4.371498
39,128,128,9,23,8.17,19.81,18.064556,4.532522
40,128,128,10,23,6.85,22.96,15.53246,3.899498
41,160,160,1,23,11.37,20.48,25.327932,6.357582
42,160,160,2,23,10.19,27.3,25.293692,6.349022
43,160,160,3,23,8.97,26.73,18.95294,4.763834
44,160,160,4,23,8.63,23.23,22.23622,5.584654
45,160,160,5,23,12.18,21.89,26.432108,6.633626
46,160,160,6,23,11.47,26.06,26.72166,6.706014
47,160,160,7,23,12.35,31.82,27.760844,6.96581
48,160,160,8,23,11.04,25.18,25.941948,6.511086
49,160,160,9,23,12.79,28.35,27.138604,6.81025
50,160,160,10,23,10.63,28.55,23.37254,5.868734
51,176,176,1,23,15.14,26.98,33.771108,8.473752
52,176,176,2,23,14.14,35.55,32.51698,8.16022
53,176,176,3,23,13.64,22.81,24.704324,6.207056
54,176,176,4,23,11.77,29.3,29.177052,7.325238
55,176,176,5,23,11.8,23.85,31.395644,7.879886
56,176,176,6,23,12.0,19.21,26.089092,6.553248
57,176,176,7,23,13.95,19.46,31.39654,7.88011
58,176,176,8,23,13.65,23.28,31.260852,7.846188
59,176,176,9,23,15.6,27.14,34.4027,8.63165
60,176,176,10,23,12.07,27.2,32.03846,8.04059
61,192,192,1,23,16.69,32.24,35.511276,8.914682
62,192,192,2,23,16.41,31.3,35.469612,8.904266
63,192,192,3,23,16.4,22.46,36.289772,9.109306
64,192,192,4,23,18.76,29.05,39.851628,9.99977
65,192,192,5,23,17.95,22.68,36.831596,9.244762
66,192,192,6,23,8.33,32.18,28.277356,7.106202
67,192,192,7,23,17.59,32.18,40.162028,10.07737
68,192,192,8,23,19.25,21.18,41.598892,10.436586
69,192,192,9,23,14.42,32.99,31.157996,7.826362
70,192,192,10,23,13.12,28.32,37.932076,9.519882
71,208,208,1,23,20.32,34.17,46.203068,11.59403
72,208,208,2,23,13.5,37.8,36.548652,9.180426
73,208,208,3,23,17.04,37.35,39.262764,9.858954
74,208,208,4,23,15.11,25.31,41.682972,10.464006
75,208,208,5,23,21.0,31.16,40.56026,10.183328
76,208,208,6,23,18.94,27.19,45.86918,11.510558
77,208,208,7,23,15.95,32.19,36.01318,9.046558
78,208,208,8,23,18.84,25.59,41.742276,10.478832
79,208,208,9,23,20.95,31.58,47.379508,11.88814
80,208,208,10,23,14.9,22.97,38.451828,9.65622
81,224,224,1,23,16.6,41.81,42.267116,10.616954
82,224,224,2,23,22.39,30.59,50.125772,12.581618
