model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
83,224,224,3,23,18.44,38.66,49.840524,12.510306
84,224,224,4,23,25.41,54.45,55.706108,13.976702
85,224,224,5,23,23.76,34.83,51.352524,12.888306
86,224,224,6,23,23.29,41.23,52.259724,13.115106
87,224,224,7,23,21.29,44.96,47.862108,12.015702
88,224,224,8,23,25.57,23.21,55.289084,13.872446
89,224,224,9,23,18.88,30.54,51.126412,12.831778
90,224,224,10,23,17.39,42.83,48.146028,12.086682
91,240,240,1,23,25.86,32.04,62.401084,15.65787
92,240,240,2,23,24.36,29.98,59.22426,14.863664
93,240,240,3,23,28.15,24.71,62.778908,15.752326
94,240,240,4,23,19.89,26.12,49.122172,12.338142
95,240,240,5,23,21.23,19.26,54.846196,13.769148
96,240,240,6,23,26.59,36.95,57.077484,14.32697
97,240,240,7,23,24.84,28.73,56.640916,14.217828
98,240,240,8,23,24.68,42.27,55.806644,14.00926
99,240,240,9,23,20.95,32.84,57.280684,14.37777
100,240,240,10,23,17.56,46.35,44.965796,11.299048
101,256,256,1,23,28.13,24.51,69.6867,17.48721
102,256,256,2,23,29.3,29.32,63.41214,15.91857
103,256,256,3,23,26.26,53.18,61.76158,15.50593
104,256,256,4,23,30.42,32.34,71.226284,17.872106
105,256,256,5,23,29.51,35.33,65.033772,16.323978
106,256,256,6,23,28.75,38.22,70.267308,17.632362
107,256,256,7,23,28.12,42.75,70.19294,17.61377
108,256,256,8,23,33.65,29.0,67.663532,16.981418
109,256,256,9,23,30.21,61.08,64.280876,16.135754
110,256,256,10,23,28.9,47.23,59.380012,14.910538
