index,,input_horizontal,input_vertical,step,Execution_time,Throughout,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
55,vgg16,116,116,4,16.2413811683655,6.15711182216309,23,4.56,17.77,11.67866,2.93312
56,vgg16,150,150,1,36.5434956550598,2.7364650865346,23,10.45,24.78,24.569284,6.16482
57,vgg16,150,150,2,29.850800037384,3.34999396581545,23,8,23.33,20.030108,5.030026
58,vgg16,150,150,3,28.428521156311,3.51759416010988,23,8.49,18.25,21.977764,5.51694
59,vgg16,150,150,4,32.2666907310486,3.09917124236652,23,9.1,24.47,22.782244,5.71806
60,vgg16,184,184,1,41.8944525718689,2.3869508696516,23,14.17,20.7,33.567836,8.425814
61,vgg16,184,184,2,38.0525588989258,2.62794416180046,23,12.03,23.49,33.096852,8.308068
62,vgg16,184,184,3,37.1452116966248,2.69213703280864,23,11.21,28.37,32.265188,8.100152
63,vgg16,184,184,4,45.733335018158,2.18658884072845,23,14.81,27.36,34.453284,8.647176
64,vgg16,218,218,1,44.336519241333,2.25547701333248,23,14.94,19.87,33.571084,8.440294
65,vgg16,218,218,2,61.1276531219482,1.63592081313023,23,20.21,33.26,44.849236,11.259832
66,vgg16,218,218,3,59.2329812049866,1.6882486406337,23,18.61,32.57,43.255164,10.861314
67,vgg16,218,218,4,59.8389172554016,1.6711532324889,23,20.21,23.34,50.348028,12.63453
68,GoogLeNet,116,116,1,5.27085065841675,18.9722696544846,95,0.53,5.99,4.405972,1.114948
69,GoogLeNet,116,116,2,5.19212961196899,19.2599198158455,95,0.5,5.9,4.265996,1.079954
70,GoogLeNet,116,116,4,5.0628399848938,19.7517599407396,95,0.46,5.74,4.17534,1.05729
71,GoogLeNet,150,150,1,6.18610858917236,16.1652513140541,95,0.78,6.57,6.6171,1.676774
72,GoogLeNet,150,150,2,6.34430408477783,15.7621700762948,95,0.85,6.39,6.990612,1.770152
73,GoogLeNet,150,150,3,6.37264966964722,15.6920598469892,95,0.81,6.52,7.276508,1.841626
74,GoogLeNet,150,150,4,6.32506608963013,15.8101114807241,95,0.85,6.51,6.94482,1.758704
75,GoogLeNet,184,184,1,8.1458592414856,12.2761757888862,95,1.25,6.44,10.532828,2.667062
76,GoogLeNet,184,184,2,8.87333154678345,11.269724282561,95,1.42,6.75,11.739804,2.968806
77,GoogLeNet,184,184,3,7.85664081573486,12.7280860033369,95,1.21,6.41,10.188804,2.581056
78,GoogLeNet,184,184,4,8.65014314651489,11.5605023299862,95,1.41,6.67,11.197268,2.833172
