model_num,input_horizontal,input_vertical,step,number of layers,FLOPs_G,Total_params_M,Memory_M,Execution_time
58,192,192,8,84,0.7,2.9,39.636148,4.81943130493164
59,192,192,9,84,0.49,2.08,32.364756,3.67172479629517
60,192,192,10,84,0.42,1.93,33.577316,3.62926483154297
61,224,224,1,84,0.61,1.62,47.365428,4.70124483108521
62,224,224,2,84,0.64,1.91,47.053604,4.59466218948364
63,224,224,3,84,0.68,2.17,45.048716,4.89590883255005
64,224,224,4,84,0.72,1.63,49.56306,4.82105255126953
65,224,224,5,84,0.47,1.94,39.647828,4.02508020401001
66,224,224,6,84,0.67,1.96,46.523172,4.57765579223633
67,224,224,7,84,0.72,2.54,50.004188,5.47852039337158
68,224,224,8,84,0.77,2.15,48.1995,5.1679801940918
69,224,224,9,84,0.8,2.38,47.88814,5.29063940048218
70,224,224,10,84,0.87,2.38,53.00954,5.69533586502075
71,256,256,1,84,0.69,1.57,53.698452,5.04761219024658
72,256,256,2,84,0.96,2.15,63.838068,5.90546131134033
73,256,256,3,84,0.73,2.03,59.569908,5.20992755889893
74,256,256,4,84,0.92,2.28,60.177916,5.93106269836426
75,256,256,5,84,1.21,2.53,70.34118,7.0401668548584
76,256,256,6,84,0.72,1.66,52.57782,5.04646301269531
77,256,256,7,84,0.91,2.25,58.931668,5.80070018768311
78,256,256,8,84,0.96,2.25,64.006492,5.98356246948242
79,256,256,9,84,0.96,2.15,65.918292,6.07638835906982
80,256,256,10,84,0.46,1.64,47.778484,4.2788290977478
81,288,288,1,84,1.14,2.39,75.350028,9.41526651382446
82,288,288,2,84,1.31,2.85,79.316172,9.33890342712402
83,288,288,3,84,0.96,2.02,75.004372,8.76510381698608
84,288,288,4,84,1.54,2.88,93.61486,11.1875057220459
85,288,288,5,84,1.21,2.19,79.443932,8.86112928390503
86,288,288,6,84,1.32,2.07,85.737364,8.46255779266357
87,288,288,7,84,1.29,2.61,84.029868,9.57563638687134
88,288,288,8,84,1.34,2.17,83.106148,10.8109855651855
89,288,288,9,84,1.31,2.21,84.094404,8.455650806427
90,288,288,10,84,0.96,2.14,67.2045,7.59597778320313
91,320,320,1,84,1.46,2.32,98.612012,10.4993939399719
92,320,320,2,84,1.18,1.98,94.5935,9.09252405166626
93,320,320,3,84,1.07,1.44,94.831764,7.87383794784546
94,320,320,4,84,1.47,2.33,91.430332,11.7001366615295
95,320,320,5,84,1.6,2.48,95.63446,10.592565536499
96,320,320,6,84,1.37,2.05,87.988052,9.59787845611572
97,320,320,7,84,1.16,1.61,93.522732,10.2769017219543
98,320,320,8,84,1.67,2.53,108.685044,10.9418153762817
99,320,320,9,84,1.67,3.02,94.53586,10.0242877006531
100,320,320,10,84,1.37,2.29,96.791836,10.60551404953
101,352,352,1,84,1.87,2.49,122.950404,11.6660070419312
102,352,352,2,84,1.45,2.32,98.827564,9.81605529785156
103,352,352,3,84,1.6,2.23,122.292668,10.4373288154602
104,352,352,4,84,1.72,1.9,110.095876,11.5698909759521
105,352,352,5,84,1.93,2.81,118.037404,11.6393113136292
106,352,352,6,84,1.73,2.59,118.79682,11.8439817428589
107,352,352,7,84,1.71,2.21,116.365604,11.6040897369385
108,352,352,8,84,1.37,2,97.497116,9.67642068862915
109,352,352,9,84,1.62,2.26,115.280556,10.4254078865051
110,352,352,10,84,1.91,2,125.676668,11.6004729270935
111,384,384,1,84,2.05,2.43,138.752124,12.4781274795532
112,384,384,2,84,2.2,2.32,146.900076,12.7449727058411
113,384,384,3,84,2.45,2.1,155.255324,13.7113881111145
114,384,384,4,84,2.29,2.33,139.0423,12.925021648407
115,384,384,5,84,2.15,2.63,145.768652,14.7106218338013
116,384,384,6,84,2.38,2.67,146.204132,13.5873818397522
117,384,384,7,84,2.29,2.47,133.336372,13.0351781845093
118,384,384,8,84,2.19,2.4,136.831452,12.4572205543518
119,384,384,9,84,2.81,2.94,157.206188,14.9809098243713
120,384,384,10,84,2.48,2.53,158.253004,13.6433124542236
121,416,416,1,84,2.89,2.91,165.666316,16.2171721458435
122,416,416,2,84,2.25,1.92,166.61798,14.4308400154114
123,416,416,3,84,2.04,1.2,170.388636,13.2930016517639
124,416,416,4,84,2.67,2.01,173.843108,15.6145262718201
125,416,416,5,84,1.27,1.24,140.437284,10.9624695777893
126,416,416,6,84,1.38,0.96,141.560372,11.3569664955139
127,416,416,7,84,3.19,2.83,178.957868,17.6289319992065
128,416,416,8,84,2.3,2.17,160.083652,14.6088790893555
129,416,416,9,84,2.24,1.9,150.161748,13.9271974563599
130,416,416,10,84,2.23,1.72,161.733228,14.6402668952942
131,448,448,1,84,2.57,1.75,181.074652,15.9848380088806
132,448,448,2,84,2.08,1.51,172.033348,14.0721607208252
133,448,448,3,84,2.9,2.49,156.057372,16.5355134010315
134,448,448,4,84,2.95,2.56,191.6543,16.9261789321899
135,448,448,5,84,2.51,2.06,188.972972,15.5558109283447
136,448,448,6,84,2.7,2.37,190.312484,16.0891151428223
137,448,448,7,84,2.91,2.21,213.87846,17.2775173187256
138,448,448,8,84,3.38,2.69,200.225076,18.5111927986145
139,448,448,9,84,3.37,2.19,218.2525,18.8085913658142
140,448,448,10,84,2.71,1.89,181.784308,16.1211585998535
141,480,480,1,84,3.12,1.72,216.888892,18.9977312088013
142,480,480,2,84,3.06,1.5,226.06698,18.1938362121582
143,480,480,3,84,3.1,2.66,186.319668,18.0163407325745
144,480,480,4,84,2.87,1.88,209.033436,17.5796151161194
145,480,480,5,84,3.42,1.87,231.095348,19.1986560821533
146,480,480,6,84,2.91,2.14,216.875972,17.7235317230225
147,480,480,7,84,3.11,2.17,224.561164,19.0001177787781
148,480,480,8,84,2.87,1.57,214.359644,17.9368424415588
149,480,480,9,84,2.5,1.39,198.82434,16.4860463142395
150,480,480,10,84,3.73,2.09,243.855148,20.1978707313538
