index,model_name,input_horizontal,input_vertical,step,Execution_time,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
77,vgg13,192,192,7,52.6349544525147,22,10.26,64.42,35.043692,8.797786
78,vgg13,192,192,8,37.2450733184814,22,9.4,35.58,32.221804,8.092314
79,vgg13,192,192,9,31.8062210083008,22,8.65,26.53,28.625964,7.193354
80,vgg13,192,192,10,40.2248859405518,22,9.08,43.46,30.971436,7.779722
81,vgg13,208,208,1,45.1939964294434,22,10.6,44.68,34.164588,8.58441
82,vgg13,208,208,2,43.9071369171143,22,11.43,35.59,36.867508,9.26014
83,vgg13,208,208,3,57.8340530395508,22,14.14,53.62,41.971268,10.53608
84,vgg13,208,208,4,55.7155704498291,22,16.06,38.02,43.32486,10.874478
85,vgg13,208,208,5,48.0549812316895,22,12.81,35.69,40.240108,10.10329
86,vgg13,208,208,6,54.8949813842773,22,11.16,65.14,36.212804,9.096464
87,vgg13,208,208,7,58.7736988067627,22,13.77,54.96,40.246756,10.104952
88,vgg13,208,208,8,55.4246139526367,22,14.21,45.33,40.136428,10.07737
89,vgg13,208,208,10,49.3803787231445,22,11.68,47.87,37.376684,9.387434
90,vgg13,224,224,1,66.6851997375488,22,15.41,63.6,49.273564,12.368566
91,vgg11,32,32,1,4.42304849624634,27,0.99,7.2,2.061476,0.516392
92,vgg11,32,32,2,5.09480476379395,27,1.19,8.47,2.397596,0.600422
93,vgg11,32,32,3,4.43209886550903,27,1.02,7.02,2.144972,0.537266
94,vgg11,32,32,4,4.13663148880005,27,0.92,6.67,2.240324,0.561104
95,vgg11,32,32,5,4.15142297744751,27,0.92,6.46,2.24814,0.563058
96,vgg11,32,32,6,4.89562511444092,27,1.1,8.16,2.136356,0.535112
97,vgg11,32,32,7,4.65703248977661,27,1.05,7.88,2.25818,0.565568
98,vgg11,32,32,8,4.26513433456421,27,1.04,6.97,1.873532,0.469406
99,vgg11,32,32,9,4.42112922668457,27,0.98,7.09,2.277356,0.570362
100,vgg11,32,32,10,4.41152095794678,27,0.99,7.2,2.184628,0.54718
101,vgg11,64,64,1,7.2572922706604,27,2.11,8.13,5.023044,1.259856
102,vgg11,64,64,2,8.06969404220581,27,2.31,8.9,5.342324,1.339676
103,vgg11,64,64,3,7.03713893890381,27,2.05,7.42,5.64502,1.41535
104,vgg11,64,64,4,7.23741054534912,27,2.19,8.1,4.9901,1.25162
105,vgg11,64,64,5,7.03971862792969,27,2.05,8.08,4.658124,1.168626
106,vgg11,64,64,6,7.60559320449829,27,2.23,8.69,5.07086,1.27181
107,vgg11,64,64,7,8.89294147491455,27,2.76,9.09,5.825564,1.460486
108,vgg11,64,64,8,7.85052061080933,27,2.47,8.02,5.329716,1.336524
109,vgg11,64,64,9,5.55031776428223,27,1.46,6.12,4.670796,1.171794
110,vgg11,64,64,10,8.30079793930054,27,2.43,9.1,5.719804,1.434046
111,vgg11,96,96,1,11.585967540741,27,3.85,8.87,9.941972,2.494708
112,vgg11,96,96,2,11.3053607940674,27,3.67,8.7,10.080244,2.529276
113,vgg11,96,96,3,12.0386981964111,27,4.02,8.84,10.796204,2.708266
114,vgg11,96,96,4,11.7945051193237,27,3.87,7.48,11.086772,2.780908
115,vgg11,96,96,5,8.26894998550415,27,2.57,6.19,8.848668,2.221382
116,vgg11,96,96,6,10.2760100364685,27,3.33,7.45,10.219684,2.564136
117,vgg11,96,96,7,9.17513608932495,27,3,5.71,9.49822,2.38377
118,vgg11,96,96,8,11.7655420303345,27,3.89,8.39,10.604012,2.660218
119,vgg11,96,96,9,13.1434297561646,27,4.43,8.97,10.25318,2.57251
120,vgg11,96,96,10,12.6611161231995,27,4.17,9.03,11.404604,2.860366
121,vgg11,128,128,1,11.9335579872131,27,4.17,6.23,16.425596,4.122782
122,vgg11,128,128,2,14.7020530700684,27,5.35,7.97,15.805772,3.967826
123,vgg11,128,128,3,15.5090856552124,27,5.67,7.5,17.590172,4.413926
124,vgg11,128,128,4,17.6965594291687,27,6.66,7.88,17.424828,4.37259
125,vgg11,128,128,5,13.0516505241394,27,4.72,6.63,13.868676,3.483552
126,vgg11,128,128,6,14.3185877799988,27,5.23,8,15.25494,3.830118
127,vgg11,128,128,7,14.0159511566162,27,4.98,8.12,14.6797,3.686308
128,vgg11,128,128,8,15.2208137512207,27,5.66,6.6,17.95974,4.506318
129,vgg11,128,128,9,15.569441318512,27,5.65,7.03,16.395156,4.115172
130,vgg11,128,128,10,11.183922290802,27,3.93,6.24,14.407772,3.618326
131,vgg11,160,160,1,24.2502355575562,27,8.78,8.55,23.061892,5.791072
132,vgg11,160,160,2,23.8272619247437,27,8.47,7.11,27.648148,6.937636
133,vgg11,160,160,3,17.8590154647827,27,6.24,5.86,21.22494,5.331834
134,vgg11,160,160,4,27.0156049728394,27,9.58,8.99,28.1449,7.061824
135,vgg11,160,160,5,17.0320725440979,27,5.88,6.79,21.57738,5.419944
136,vgg11,160,160,6,14.4367218017578,27,4.77,4.63,19.534596,4.909248
137,vgg11,160,160,7,25.1748538017273,27,9.03,9.26,22.446996,5.637348
138,vgg11,160,160,8,24.9872255325317,27,8.98,8.46,25.46394,6.391584
139,vgg11,160,160,9,20.6255698204041,27,7.45,7.48,21.76942,5.467954
140,vgg11,160,160,10,9.93483304977417,27,3.15,3.97,19.6633,4.941424
141,vgg11,192,192,1,27.9256987571716,27,10.18,8.07,29.166844,7.328574
142,vgg11,192,192,2,32.2811722755432,27,11.57,8.57,31.93054,8.019498
143,vgg11,192,192,3,30.1411819458008,27,10.57,9.26,33.858532,8.501496
144,vgg11,192,192,4,30.5319762229919,27,11.01,8.14,31.749356,7.974202
145,vgg11,192,192,5,28.1569242477417,27,10.13,8.09,30.941908,7.77234
146,vgg11,192,192,6,27.1127200126648,27,9.51,7.35,35.623756,8.942802
147,vgg11,192,192,7,28.4374976158142,27,10.22,7.49,30.543124,7.672644
148,vgg11,192,192,8,20.5480241775513,27,7.09,6.59,26.112884,6.565084
149,vgg11,192,192,9,26.7124462127686,27,9.59,7.74,30.004804,7.538064
150,vgg11,192,192,10,27.8661108016968,27,9.91,6.79,32.28382,8.107818
151,vgg11,224,224,1,24.7654366493225,27,8.52,5.37,41.77454,10.49381
152,vgg11,224,224,2,43.1508421897888,27,15.81,9.84,44.649564,11.212566
153,vgg11,224,224,3,31.6193056106567,27,11.36,7.12,43.128844,10.832386
154,vgg11,224,224,4,29.4663643836975,27,10.29,5.56,45.29582,11.37413
155,vgg11,224,224,5,37.1484565734863,27,13.4,7.82,41.740764,10.485366
156,vgg11,224,224,6,41.4923119544983,27,15.26,9.35,43.758844,10.989886
157,vgg11,224,224,7,29.0878748893738,27,10.52,6.61,34.659532,8.715058
158,vgg11,224,224,8,30.7051205635071,27,10.98,6.62,39.3211,9.88045
159,vgg11,224,224,9,39.0349340438843,27,14.18,7.55,42.622676,10.705844
