model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
1,32,32,1,27,0.99,7.2,2.061476,0.516392
2,32,32,2,27,1.19,8.47,2.397596,0.600422
3,32,32,3,27,1.02,7.02,2.144972,0.537266
4,32,32,4,27,0.92,6.67,2.240324,0.561104
5,32,32,5,27,0.92,6.46,2.24814,0.563058
6,32,32,6,27,1.1,8.16,2.136356,0.535112
7,32,32,7,27,1.05,7.88,2.25818,0.565568
8,32,32,8,27,1.04,6.97,1.873532,0.469406
9,32,32,9,27,0.98,7.09,2.277356,0.570362
10,32,32,10,27,0.99,7.2,2.184628,0.54718
11,64,64,1,27,2.11,8.13,5.023044,1.259856
12,64,64,2,27,2.31,8.9,5.342324,1.339676
13,64,64,3,27,2.05,7.42,5.64502,1.41535
14,64,64,4,27,2.19,8.1,4.9901,1.25162
15,64,64,5,27,2.05,8.08,4.658124,1.168626
16,64,64,6,27,2.23,8.69,5.07086,1.27181
17,64,64,7,27,2.76,9.09,5.825564,1.460486
18,64,64,8,27,2.47,8.02,5.329716,1.336524
19,64,64,9,27,1.46,6.12,4.670796,1.171794
20,64,64,10,27,2.43,9.1,5.719804,1.434046
21,96,96,1,27,3.85,8.87,9.941972,2.494708
22,96,96,2,27,3.67,8.7,10.080244,2.529276
23,96,96,3,27,4.02,8.84,10.796204,2.708266
24,96,96,4,27,3.87,7.48,11.086772,2.780908
25,96,96,5,27,2.57,6.19,8.848668,2.221382
26,96,96,6,27,3.33,7.45,10.219684,2.564136
27,96,96,7,27,3.0,5.71,9.49822,2.38377
28,96,96,8,27,3.89,8.39,10.604012,2.660218
29,96,96,9,27,4.43,8.97,10.25318,2.57251
30,96,96,10,27,4.17,9.03,11.404604,2.860366
31,128,128,1,27,4.17,6.23,16.425596,4.122782
32,128,128,2,27,5.35,7.97,15.805772,3.967826
33,128,128,3,27,5.67,7.5,17.590172,4.413926
34,128,128,4,27,6.66,7.88,17.424828,4.37259
35,128,128,5,27,4.72,6.63,13.868676,3.483552
36,128,128,6,27,5.23,8.0,15.25494,3.830118
37,128,128,7,27,4.98,8.12,14.6797,3.686308
38,128,128,8,27,5.66,6.6,17.95974,4.506318
39,128,128,9,27,5.65,7.03,16.395156,4.115172
40,128,128,10,27,3.93,6.24,14.407772,3.618326
