model_num,input_horizontal,input_vertical,step,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
41,160,160,1,27,8.78,8.55,23.061892,5.791072
42,160,160,2,27,8.47,7.11,27.648148,6.937636
43,160,160,3,27,6.24,5.86,21.22494,5.331834
44,160,160,4,27,9.58,8.99,28.1449,7.061824
45,160,160,5,27,5.88,6.79,21.57738,5.419944
46,160,160,6,27,4.77,4.63,19.534596,4.909248
47,160,160,7,27,9.03,9.26,22.446996,5.637348
48,160,160,8,27,8.98,8.46,25.46394,6.391584
49,160,160,9,27,7.45,7.48,21.76942,5.467954
50,160,160,10,27,3.15,3.97,19.6633,4.941424
51,192,192,1,27,10.18,8.07,29.166844,7.328574
52,192,192,2,27,11.57,8.57,31.93054,8.019498
53,192,192,3,27,10.57,9.26,33.858532,8.501496
54,192,192,4,27,11.01,8.14,31.749356,7.974202
55,192,192,5,27,10.13,8.09,30.941908,7.77234
56,192,192,6,27,9.51,7.35,35.623756,8.942802
57,192,192,7,27,10.22,7.49,30.543124,7.672644
58,192,192,8,27,7.09,6.59,26.112884,6.565084
59,192,192,9,27,9.59,7.74,30.004804,7.538064
60,192,192,10,27,9.91,6.79,32.28382,8.107818
61,224,224,1,27,8.52,5.37,41.77454,10.49381
62,224,224,2,27,15.81,9.84,44.649564,11.212566
63,224,224,3,27,11.36,7.12,43.128844,10.832386
64,224,224,4,27,10.29,5.56,45.29582,11.37413
65,224,224,5,27,13.4,7.82,41.740764,10.485366
66,224,224,6,27,15.26,9.35,43.758844,10.989886
67,224,224,7,27,10.52,6.61,34.659532,8.715058
68,224,224,8,27,10.98,6.62,39.3211,9.88045
69,224,224,9,27,14.18,7.55,42.622676,10.705844
70,224,224,10,27,11.65,6.07,42.442716,10.660854
71,256,256,1,27,14.33,7.11,47.97158,12.05843
72,256,256,2,27,15.17,5.87,51.236788,12.874732
73,256,256,3,27,13.48,7.57,50.908516,12.792664
74,256,256,4,27,12.28,5.9,45.7021,11.49106
75,256,256,5,27,19.05,8.65,59.303012,14.891288
76,256,256,6,27,16.93,7.84,56.584236,14.211594
77,256,256,7,27,16.41,8.43,61.121964,15.346026
78,256,256,8,27,16.7,7.98,60.39242,15.16364
79,256,256,9,27,18.61,8.64,61.397948,15.415022
80,256,256,10,27,17.85,9.1,57.324364,14.396626
81,288,288,1,27,10.57,3.69,66.589604,16.730344
82,288,288,2,27,14.91,5.16,72.451612,18.195846
83,288,288,3,27,21.21,8.69,66.959124,16.822724
84,288,288,4,27,20.12,8.65,66.787452,16.779806
85,288,288,5,27,11.61,4.65,64.571924,16.225924
86,288,288,6,27,23.56,9.62,67.74566,17.019358
87,288,288,7,27,19.81,7.23,68.927292,17.314766
88,288,288,8,27,21.16,8.27,60.906764,15.309634
89,288,288,9,27,25.22,9.48,74.355436,18.671802
90,288,288,10,27,23.06,9.43,71.189548,17.88033
91,320,320,1,27,30.69,10.05,84.296836,21.176608
92,320,320,2,27,19.6,6.87,84.183548,21.148286
93,320,320,3,27,21.5,6.52,76.154052,19.140912
94,320,320,4,27,27.29,9.4,79.121764,19.88284
95,320,320,5,27,25.33,8.25,90.313716,22.680828
96,320,320,6,27,27.05,7.84,87.051684,21.86532
97,320,320,7,27,26.18,8.36,90.346004,22.6889
98,320,320,8,27,25.9,7.46,91.655092,23.016172
99,320,320,9,27,19.22,6.82,85.15762,21.391804
100,320,320,10,27,30.75,9.91,88.656892,22.266622
